Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,latitude,longitude,Pin code,Feedback
23,Male,Single,Student,No Income,Graduate,4,12.9343,77.6044,560029,Positive
27,Male,Married,Employee,25001 to 50000,Graduate,2,12.8845,77.6036,560076,Positive
23,Male,Single,Student,No Income,Post Graduate,2,13.0019,77.5713,560003,Positive
23,Male,Single,Student,No Income,Post Graduate,2,12.9442,77.6076,560030,Positive
25,Male,Single,Self Employeed,More than 50000,Graduate,2,12.9783,77.6408,560038,Positive
24,Male,Single,Student,No Income,Post Graduate,2,12.9706,77.6529,560075,Positive
32,Female,Married,Employee,25001 to 50000,Graduate,5,12.9261,77.6221,560034,Positive
26,Male,Married,Employee,10001 to 25000,Graduate,4,12.9105,77.4842,560060,Positive
25,Male,Single,Self Employeed,10001 to 25000,Graduate,3,13.0206,77.6479,560043,Positive
24,Male,Married,Self Employeed,More than 50000,Ph.D,6,12.9635,77.5821,560002,Negative 
25,Male,Married,Employee,More than 50000,Ph.D,3,12.9306,77.5434,560085,Positive
24,Female,Single,Self Employeed,25001 to 50000,Post Graduate,3,13.0103,77.5796,560080,Negative 
25,Male,Single,Self Employeed,More than 50000,School,3,12.9859,77.6713,560093,Positive
22,Male,Single,Student,No Income,Graduate,3,13.0158,77.539,560096,Positive
24,Female,Single,Student,25001 to 50000,Post Graduate,3,13.102,77.5864,560064,Positive
26,Male,Single,Employee,25001 to 50000,Graduate,2,12.9343,77.6044,560029,Positive
32,Male,Married,Employee,More than 50000,Graduate,5,12.9037,77.5376,560061,Positive
28,Female,Single,Employee,25001 to 50000,Post Graduate,2,12.9783,77.6408,560038,Positive
24,Male,Single,Employee,10001 to 25000,Graduate,4,12.9442,77.6076,560030,Positive
25,Male,Single,Employee,10001 to 25000,Post Graduate,3,13.0138,77.5877,560006,Positive
24,Female,Single,Student,No Income,Post Graduate,3,12.9828,77.6131,560042,Positive
21,Female,Single,Student,Below Rs.10000,Post Graduate,1,12.9783,77.6408,560038,Positive
21,Male,Single,Student,No Income,Graduate,2,12.957,77.5637,560018,Negative 
27,Male,Married,Employee,25001 to 50000,Graduate,2,12.8845,77.6036,560076,Positive
27,Male,Married,Self Employeed,25001 to 50000,Graduate,6,12.9217,77.5936,560041,Positive
27,Male,Married,Employee,25001 to 50000,Graduate,2,12.8845,77.6036,560076,Positive
23,Female,Single,Employee,10001 to 25000,Graduate,6,12.9551,77.6593,560017,Positive
24,Female,Single,Employee,25001 to 50000,Graduate,3,12.8893,77.6399,560068,Positive
21,Male,Single,Student,No Income,Graduate,3,13.0641,77.5931,560092,Negative 
25,Female,Married,Employee,25001 to 50000,Graduate,3,13.0626,77.5284,560015,Positive
23,Male,Single,Student,No Income,Post Graduate,5,12.8988,77.5764,560078,Positive
24,Male,Single,Student,No Income,Post Graduate,5,12.9337,77.59,560011,Positive
29,Male,Single,Employee,25001 to 50000,Graduate,3,13.0641,77.5931,560092,Negative 
32,Female,Married,Employee,More than 50000,Graduate,1,13.0019,77.5713,560003,Positive
21,Male,Single,Student,No Income,Graduate,3,13.0641,77.5931,560092,Positive
29,Female,Married,Employee,25001 to 50000,Graduate,4,12.9783,77.6408,560038,Negative 
18,Male,Single,Student,No Income,Graduate,5,12.9635,77.5821,560002,Positive
23,Female,Single,Student,No Income,Graduate,3,12.982,77.6256,560008,Negative 
24,Female,Single,Student,No Income,Post Graduate,5,13.0626,77.5284,560015,Negative 
21,Male,Single,Student,Below Rs.10000,Post Graduate,3,12.9306,77.5434,560085,Positive
22,Male,Single,Student,Below Rs.10000,Post Graduate,4,12.985,77.5533,560010,Positive
21,Male,Single,Student,No Income,Graduate,2,13.0012,77.5995,560046,Negative 
25,Male,Married,Self Employeed,25001 to 50000,Graduate,3,12.9561,77.5921,560027,Positive
25,Female,Single,Student,10001 to 25000,Graduate,2,12.9757,77.5586,560023,Positive
30,Male,Married,Self Employeed,More than 50000,Graduate,1,13.0809,77.5565,560097,Negative 
23,Male,Single,Student,More than 50000,Post Graduate,3,12.977,77.5773,560009,Positive
27,Male,Prefer not to say,Employee,25001 to 50000,Post Graduate,1,13.0166,77.6804,560016,Positive
22,Male,Single,Employee,10001 to 25000,Graduate,2,12.9299,77.6848,560103,Positive
23,Female,Single,Student,No Income,Post Graduate,2,12.9766,77.5993,560001,Positive
